r,time,v_theta_sim,v_theta_analytical_t0,v_theta_analytical_tfin
0.4253333333333333,30.0,0.2985732929420969,0.5094813398063296,0.27371911943069493
0.44079999999999997,30.0,0.3036959454603053,0.5104269283694319,0.2793259816357654
0.4562666666666666,30.0,0.3090047932237139,0.5104196792722421,0.28456751132301916
0.4717333333333333,30.0,0.31401865287279307,0.5095289699124792,0.289445719519757
0.48719999999999997,30.0,0.3181157552149409,0.5078246929530228,0.29396356722756734
0.5026666666666666,30.0,0.3219654576895779,0.5053765599266045,0.2981249221063343
0.5181333333333333,30.0,0.3255906413935193,0.5022534652642757,0.30193451211019967
0.5335999999999999,30.0,0.32887331709917444,0.4985229150040373,0.30539787646786576
0.5490666666666666,30.0,0.33170813330201965,0.4942505229246528,0.3085213144047856
0.5645333333333333,30.0,0.334100096453733,0.48949957541740974,0.3113118320064119
0.5799999999999998,30.0,0.33602806833817506,0.4843306650813849,0.31377708761987394
0.5954666666666666,30.0,0.33753772224046696,0.47880139182646997,0.3159253361863866
0.6109333333333333,30.0,0.3389271790183972,0.4729661292085485,0.31776537288852524
0.6263999999999998,30.0,0.3399470241328709,0.4668758528132504,0.31930647648545246
0.6418666666666666,30.0,0.3407092527778857,0.46057802675405396,0.3205583526954657
0.6573333333333333,30.0,0.3410205770025314,0.4541165437580126,0.3215310779691057
0.6727999999999998,30.0,0.341123386674079,0.4475317138747211,0.3222350439777753
0.6882666666666666,30.0,0.34095848562481856,0.4408602965544005,0.3226809031226525
0.7037333333333333,30.0,0.3405317056529236,0.43413557068919706,0.3228795153469043
0.7191999999999998,30.0,0.33990713893858404,0.42738743718562644,0.3228418965111134
0.7346666666666666,30.0,0.33894820547857335,0.42064254872143697,0.32257916856769936
0.7501333333333333,30.0,0.3377935219972737,0.4139244615217211,0.3221025117452268
0.7655999999999998,30.0,0.33654132445650564,0.40725380425100105,0.32142311892812514
0.7810666666666666,30.0,0.3352054727189078,0.40064845944431376,0.320552152391761
0.7965333333333333,30.0,0.3333834563169025,0.39412375327543603,0.31950070302725647
0.8119999999999998,30.0,0.3314247786078307,0.38769264986955393,0.31827975216518073
0.8274666666666666,30.0,0.329433193936032,0.3813659467971647,0.3169001360824761
0.8429333333333333,30.0,0.32734152796290406,0.3751524688234367,0.31537251325292115
0.8583999999999998,30.0,0.3252087166283792,0.36905925742173934,0.31370733437826914
0.8738666666666666,30.0,0.32265355052203154,0.3630917539823007,0.3119148152150983
0.8893333333333333,30.0,0.32010648918784573,0.3572539750492691,0.3100049121915097
0.9047999999999998,30.0,0.31757185129757953,0.35154867829577235,0.30798730078824305
0.9202666666666666,30.0,0.3151131777115922,0.3459775182923552,0.3058713566406367
0.9357333333333333,30.0,0.3123152526596193,0.3405411914363392,0.3036661393012395
0.9511999999999998,30.0,0.30942743770230685,0.3352395696863806,0.3013803785878171
0.9666666666666666,30.0,0.30640980157294845,0.3300718229871938,0.2990224634280553
0.9821333333333333,30.0,0.3038857129998611,0.32503653047439457,0.2966004331004424
0.9975999999999998,30.0,0.30112763385309677,0.3201317807198954,0.2941219707606236
1.0130666666666666,30.0,0.29793995010546176,0.315355261416102,0.2915943991339488
1.0285333333333333,30.0,0.29460594706424165,0.3107043390046577,0.28902467824794087
1.0439999999999998,30.0,0.29160987013068246,0.3061761288353704,0.28641940507295166
1.0594666666666666,30.0,0.28889371367727795,0.30176755649616155,0.2837848149352958
1.074933333333333,30.0,0.28589334137535505,0.29747541098842956,0.2811267845645695
1.0903999999999998,30.0,0.28264674412509505,0.29329639043715033,0.2784508366356154
1.1058666666666666,30.0,0.2796888789784619,0.2892271410243167,0.2757621456655769
1.1213333333333333,30.0,0.27713660600142376,0.28526428982073687,0.27306554512761744
