sample,time,sigma_sq,sigma_sq_excess
89,89.0,0.8137485683013922,0.09345858057856649
90,90.0,0.8135939174703273,0.09330392974750157
91,91.0,0.8139719161197342,0.09368192839690848
92,92.0,0.8136723811508356,0.09338239342800991
93,93.0,0.8142260140044117,0.09393602628158604
94,94.0,0.8141204768957848,0.09383048917295911
95,95.0,0.8144018683408174,0.0941118806179917
96,96.0,0.814859180010578,0.09456919228775229
97,97.0,0.814981416418808,0.09469142869598224
98,98.0,0.8154787367265869,0.09518874900376117
99,99.0,0.8157775291703385,0.09548754144751281
100,100.0,0.816627361858049,0.09633737413522325
101,101.0,0.816480574924624,0.0961905872017983
102,102.0,0.8164556630857147,0.096165675362889
103,103.0,0.8175315316247779,0.09724154390195217
104,104.0,0.818323278321331,0.0980332905985053
105,105.0,0.8193126162085688,0.09902262848574306
106,106.0,0.8193380019475571,0.09904801422473142
107,107.0,0.8191530969068495,0.09886310918402375
108,108.0,0.8194280720773633,0.09913808435453764
109,109.0,0.820008628671872,0.09971864094904626
110,110.0,0.8206014746237453,0.10031148690091962
111,111.0,0.8216857858315254,0.1013957981086997
112,112.0,0.8217302724363116,0.10144028471348587
113,113.0,0.8211289899660851,0.10083900224325937
114,114.0,0.8215518673341922,0.10126187961136646
115,115.0,0.8221154246890935,0.10182543696626778
116,116.0,0.822470159685733,0.1021801719629073
117,117.0,0.8224462329916534,0.10215624526882772
118,118.0,0.8222822739091918,0.10199228618636613
119,119.0,0.8215879104444337,0.10129792272160798
120,120.0,0.8216797811392593,0.10138979341643362
121,121.0,0.821736983008977,0.10144699528615131
122,122.0,0.8225343740655593,0.10224438634273358
123,123.0,0.8226812299685469,0.10239124224572116
124,124.0,0.8232835858298029,0.10299359810697717
125,125.0,0.8239003232500004,0.10361033552717469
126,126.0,0.8241427834234657,0.10385279570063999
127,127.0,0.8260306567909216,0.10574066906809587
128,128.0,0.8262327423650679,0.10594275464224223
129,129.0,0.8251989695871323,0.10490898186430664
130,130.0,0.8256092976722914,0.1053193099494657
131,131.0,0.825840353806487,0.1055503660836613
132,132.0,0.8261510466342082,0.10586105891138253
133,133.0,0.8253749486038453,0.1050849608810196
134,134.0,0.8250848769484761,0.10479488922565039
135,135.0,0.8252028444665275,0.10491285674370177
136,136.0,0.8254508079324215,0.10516082020959583
137,137.0,0.82609370681288,0.10580371909005426
138,138.0,0.8262366934109991,0.10594670568817344
139,139.0,0.8269317669961088,0.10664177927328311
140,140.0,0.8269309268391847,0.10664093911635897
141,141.0,0.8269067092376975,0.10661672151487178
142,142.0,0.8277234440627934,0.1074334563399677
143,143.0,0.8275797086665699,0.10728972094374423
144,144.0,0.8272586227911671,0.10696863506834142
145,145.0,0.8278835997666645,0.10759361204383877
146,146.0,0.8288678882667848,0.1085779005439591
147,147.0,0.8304521126935208,0.11016212497069511
148,148.0,0.8314016829764626,0.11111169525363684
149,149.0,0.8319327898349907,0.11164280211216504
150,150.0,0.832157290335792,0.11186730261296629
151,151.0,0.8313796090330483,0.1110896213102226
152,152.0,0.8313173929381492,0.1110274052153235
153,153.0,0.8310668052924773,0.11077681756965163
154,154.0,0.831923751804216,0.11163376408139025
155,155.0,0.8318901072617292,0.11160011953890348
156,156.0,0.8313050178473875,0.11101503012456182
157,157.0,0.8320081815170992,0.1117181937942735
158,158.0,0.8321046700123763,0.1118146822895506
159,159.0,0.8312898258515037,0.11099983812867797
160,160.0,0.8315341586020929,0.11124417087926719
161,161.0,0.8323550611900502,0.1120650734672245
162,162.0,0.8330752166279924,0.11278522890516673
163,163.0,0.8337724574686686,0.11348246974584286
164,164.0,0.8330368687391928,0.1127468810163671
165,165.0,0.8320322830070003,0.11174229528417456
166,166.0,0.8315786600835844,0.11128867236075868
167,167.0,0.8317892580841066,0.11149927036128093
168,168.0,0.8321066446000472,0.11181665687722153
169,169.0,0.8325039236056431,0.11221393588281736
170,170.0,0.8331615891513965,0.11287160142857078
171,171.0,0.8329255192999037,0.11263553157707795
172,172.0,0.8335039080179578,0.11321392029513211
173,173.0,0.8341748590398415,0.11388487131701575
174,174.0,0.8340974028543714,0.11380741513154569
175,175.0,0.8335152852781215,0.11322529755529576
176,176.0,0.8334327566434085,0.11314276892058284
177,177.0,0.8341707227505105,0.11388073502768481
178,178.0,0.8337597251725093,0.11346973744968358
179,179.0,0.8331864985307194,0.11289651080789365
180,180.0,0.8329812469772164,0.11269125925439072
181,181.0,0.8333536560384032,0.11306366831557746
182,182.0,0.8339980991877766,0.11370811146495086
183,183.0,0.8348523790551284,0.11456239133230273
184,184.0,0.8353396447102276,0.11504965698740188
185,185.0,0.8362506232859519,0.11596063556312619
186,186.0,0.8363422733237026,0.11605228560087688
187,187.0,0.8361083996740611,0.11581841195123543
188,188.0,0.8363039298027967,0.11601394207997096
189,189.0,0.836276788881246,0.1159868011584203
190,190.0,0.8357813794521624,0.11549139172933665
191,191.0,0.8359626362980829,0.11567264857525716
192,192.0,0.8362464144180752,0.11595642669524953
193,193.0,0.8359746968304631,0.1156847091076374
194,194.0,0.8350405116399005,0.11475052391707474
195,195.0,0.8352598111313393,0.11496982340851358
196,196.0,0.8359136178744265,0.11562363015160082
197,197.0,0.8366793413142226,0.1163893535913969
198,198.0,0.8361930217548015,0.11590303403197577
199,199.0,0.8370971339451836,0.11680714622235788
200,200.0,0.8377920830613335,0.11750209533850775
201,201.0,0.8383378707074235,0.11804788298459779
202,202.0,0.8386372969908675,0.11834730926804182
203,203.0,0.8386583643124397,0.11836837658961397
204,204.0,0.839439590457746,0.11914960273492026
205,205.0,0.8393781777119468,0.11908818998912107
206,206.0,0.8391584181383689,0.11886843041554318
207,207.0,0.8390656870119058,0.11877569928908005
208,208.0,0.8403522367087629,0.1200622489859372
209,209.0,0.840755119475693,0.12046513175286733
210,210.0,0.8402896670303464,0.11999967930752065
211,211.0,0.8408780599343502,0.12058807221152446
212,212.0,0.8416734843053376,0.12138349658251191
213,213.0,0.8410975765905004,0.12080758886767473
214,214.0,0.8405301872199098,0.12024019949708409
215,215.0,0.8415179332775227,0.12122794555469696
216,216.0,0.8420463878035035,0.12175640008067778
217,217.0,0.8416948372627993,0.12140484953997355
218,218.0,0.8425261252746904,0.12223613755186469
219,219.0,0.8429099868749258,0.12261999915210009
220,220.0,0.8426101910850227,0.12232020336219696
221,221.0,0.8416122123658305,0.1213222246430048
222,222.0,0.8416288496926649,0.12133886196983923
223,223.0,0.8421090466509692,0.12181905892814349
224,224.0,0.8438998269636123,0.12360983924078661
225,225.0,0.8446361256720424,0.12434613794921667
226,226.0,0.8434084706089265,0.12311848288610083
227,227.0,0.8430109961101411,0.12272100838731537
228,228.0,0.8436855976309369,0.12339560990811116
229,229.0,0.8443520406553284,0.12406205293250272
230,230.0,0.8444525180459218,0.1241625303230961
231,231.0,0.8446241988250817,0.12433421110225595
232,232.0,0.845529830372372,0.12523984264954624
233,233.0,0.8449317234738872,0.12464173575106152
234,234.0,0.84430985273718,0.12401986501435425
235,235.0,0.8445673119391028,0.12427732421627713
236,236.0,0.845800874732443,0.12551088700961732
237,237.0,0.8447984652230577,0.12450847750023197
238,238.0,0.8441858338802205,0.1238958461573948
239,239.0,0.844458303325748,0.1241683156029223
240,240.0,0.8447413056853602,0.1244513179625345
241,241.0,0.8453536748198104,0.12506368709698468
242,242.0,0.8448231512764651,0.12453316355363941
243,243.0,0.8454776476189063,0.1251876598960806
244,244.0,0.8456486686819585,0.12535868095913283
245,245.0,0.8455589098154074,0.12526892209258167
246,246.0,0.8463640768253209,0.12607408910249518
247,247.0,0.8461206698493816,0.1258306821265559
248,248.0,0.8452403637301924,0.12495037600736669
249,249.0,0.8461703594562946,0.1258803717334689
250,250.0,0.8469235312448349,0.12663354352200917
