sample,time,sigma_sq,sigma_sq_excess
190,3.04,1.1893069310745417,0.46901680735332163
191,3.056,1.189343770583451,0.46905364686223106
192,3.072,1.1893666046531028,0.4690764809318828
193,3.088,1.1894674365878537,0.46917731286663367
194,3.104,1.1896498870913714,0.4693597633701514
195,3.12,1.189782023724865,0.46949190000364505
196,3.136,1.1899377382649265,0.4696476145437065
197,3.152,1.1900756878957663,0.4697855641745463
198,3.168,1.1900715315426154,0.4697814078213953
199,3.184,1.190015522365196,0.469725398643976
200,3.2,1.1900268029991414,0.4697366792779214
201,3.216,1.1901320921024054,0.4698419683811854
202,3.232,1.1901532192764197,0.4698630955551997
203,3.248,1.19018062334173,0.46989049962051
204,3.2640000000000002,1.190257656321148,0.46996753259992796
205,3.2800000000000002,1.190325876445382,0.47003575272416187
206,3.2960000000000003,1.1903494437812667,0.4700593200600467
207,3.3120000000000003,1.1903188590235894,0.4700287353023693
208,3.3280000000000003,1.1903122227062835,0.4700220989850634
209,3.344,1.1903759932260478,0.4700858695048278
210,3.36,1.1905025617134561,0.4702124379922361
211,3.376,1.1906859518269541,0.4703958281057341
212,3.392,1.1908063106091082,0.4705161868878882
213,3.408,1.190842227298104,0.47055210357688404
214,3.424,1.1908698991455209,0.47057977542430085
215,3.44,1.1909484594173236,0.4706583356961036
216,3.456,1.1910745763319894,0.4707844526107694
217,3.472,1.1911289873278281,0.4708388636066081
218,3.488,1.1910901585124387,0.4708000347912187
219,3.504,1.1910717060558074,0.47078158233458733
220,3.52,1.1910478874029453,0.4707577636817253
221,3.536,1.1910809006260514,0.4707907769048314
222,3.552,1.191121980300496,0.47083185657927595
223,3.568,1.191147120888172,0.47085699716695206
224,3.584,1.1911367495645884,0.47084662584336834
225,3.6,1.1911379863738851,0.4708478626526651
226,3.616,1.191208319410634,0.47091819568941395
227,3.632,1.1912188616897437,0.47092873796852364
228,3.648,1.1912099105713936,0.47091978685017355
229,3.664,1.1912302105364168,0.4709400868151967
230,3.68,1.1912520658173176,0.47096194209609754
231,3.696,1.191293983572342,0.4710038598511219
232,3.712,1.1913914995794637,0.47110137585824363
233,3.728,1.1914815328646549,0.4711914091434348
234,3.744,1.1915130761338613,0.4712229524126412
235,3.7600000000000002,1.1915347606158817,0.4712446368946617
236,3.7760000000000002,1.1915507370398135,0.4712606133185935
237,3.7920000000000003,1.1915546699975266,0.47126454627630654
238,3.8080000000000003,1.1915720286371487,0.4712819049159287
239,3.8240000000000003,1.1917216393847463,0.47143151566352626
240,3.84,1.191898100930242,0.47160797720902203
241,3.856,1.1919740465075022,0.47168392278628213
242,3.872,1.1919991889570836,0.47170906523586353
243,3.888,1.1921168500625068,0.47182672634128675
244,3.904,1.1922929436840215,0.47200281996280147
245,3.92,1.1923474405947503,0.47205731687353025
246,3.936,1.19237164898928,0.4720815252680599
247,3.952,1.1924894360319198,0.4721993123106998
248,3.968,1.1926776747398193,0.4723875510185993
249,3.984,1.1928342639157594,0.4725441401945394
250,4.0,1.1929147303047423,0.47262460658352223
