run,method,ppc,flip_coef,r,v_theta_sim
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.9240666666666666,1.8637229184374406
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.9418000000000002,1.8470170846214249
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.9595333333333333,1.8309309952273125
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.9772666666666665,1.8147378391190623
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1.995,1.7981772535201928
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.0127333333333333,1.7825909692052275
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.0304666666666664,1.7670385618740387
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.0482,1.7510855091329078
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.0659333333333336,1.7364333098518212
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.083666666666667,1.7224635165432045
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.1014,1.7082493356199862
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.119133333333333,1.69367564060663
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.1368666666666667,1.679564315202298
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.1546000000000003,1.6661780989307364
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.1723333333333334,1.6529216291616615
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.1900666666666666,1.6390274228331954
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.2077999999999998,1.6250353297773912
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.2255333333333334,1.611442454817089
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.243266666666667,1.598592189912315
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.261,1.5848603066041518
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.2787333333333333,1.5714088085323366
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.2964666666666664,1.5564635108012106
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.3142,1.5402588837849975
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.3319333333333336,1.5225530233738243
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.349666666666667,1.5039670705069985
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.3674,1.4831212487983485
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.385133333333333,1.4583947850331327
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.4028666666666667,1.4301705864189487
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.4206000000000003,1.39817027197162
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.4383333333333335,1.36218978083482
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.4560666666666666,1.3166028932662588
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.4737999999999998,1.2636826003151738
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.4915333333333334,1.204610830342644
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.509266666666667,1.1354054284642847
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.527,1.0571238731507044
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.5447333333333333,0.9728603714433062
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.5624666666666664,0.8805244315846836
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.5802,0.7780038817049882
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.5979333333333336,0.6674998524289316
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.615666666666667,0.5489606055732897
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.6334,0.420055841224329
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2.651133333333333,0.21332249553138816
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.008866666666666667,0.03296196819058457
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.0266,0.07438378597017478
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.044333333333333336,0.1132822913313168
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.062066666666666666,0.1588584469844987
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.07980000000000001,0.19825545032688086
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.09753333333333333,0.23481763661511676
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.11526666666666666,0.27787599180681355
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.133,0.3205010208026404
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.15073333333333333,0.36769878846266124
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.16846666666666665,0.417726880490988
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.1862,0.4595083724614019
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.20393333333333333,0.49900935278626585
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.22166666666666668,0.5416261702934659
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.2394,0.5818088344879675
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.2571333333333333,0.625826253890759
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.2748666666666667,0.6697470847106564
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.29259999999999997,0.7130982922398447
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.31033333333333335,0.7592004619388101
