run,method,ppc,flip_coef,sample,time,sigma_sq,sigma_sq_excess
rankine_pic_ppc2_t4,pic,2,,159,2.544,0.9448300452292401,0.22453992150802005
rankine_pic_ppc2_t4,pic,2,,160,2.56,0.9449757014298615,0.2246855777086415
rankine_pic_ppc2_t4,pic,2,,161,2.576,0.9450693982017115,0.2247792744804915
rankine_pic_ppc2_t4,pic,2,,162,2.592,0.9452160740346055,0.22492595031338547
rankine_pic_ppc2_t4,pic,2,,163,2.608,0.9453024077112951,0.2250122839900751
rankine_pic_ppc2_t4,pic,2,,164,2.624,0.9455650787964912,0.22527495507527118
rankine_pic_ppc2_t4,pic,2,,165,2.64,0.9455353636784943,0.2252452399572743
rankine_pic_ppc2_t4,pic,2,,166,2.656,0.9457262194540899,0.22543609573286982
rankine_pic_ppc2_t4,pic,2,,167,2.672,0.9457606928698427,0.22547056914862262
rankine_pic_ppc2_t4,pic,2,,168,2.688,0.9458437028185738,0.22555357909735374
rankine_pic_ppc2_t4,pic,2,,169,2.704,0.9459673125656421,0.22567718884442212
rankine_pic_ppc2_t4,pic,2,,170,2.72,0.945985888160568,0.2256957644393479
rankine_pic_ppc2_t4,pic,2,,171,2.736,0.9461154992338563,0.22582537551263626
rankine_pic_ppc2_t4,pic,2,,172,2.7520000000000002,0.9461920317282277,0.2259019080070077
rankine_pic_ppc2_t4,pic,2,,173,2.7680000000000002,0.9462091601423871,0.22591903642116706
rankine_pic_ppc2_t4,pic,2,,174,2.7840000000000003,0.946343148834996,0.226053025113776
rankine_pic_ppc2_t4,pic,2,,175,2.8000000000000003,0.946221248341603,0.225931124620383
rankine_pic_ppc2_t4,pic,2,,176,2.816,0.9464091226464164,0.22611899892519638
rankine_pic_ppc2_t4,pic,2,,177,2.832,0.9464378372887476,0.2261477135675276
rankine_pic_ppc2_t4,pic,2,,178,2.848,0.9464645015668024,0.22617437784558236
rankine_pic_ppc2_t4,pic,2,,179,2.864,0.9465840800293543,0.22629395630813431
rankine_pic_ppc2_t4,pic,2,,180,2.88,0.9464782146790159,0.2261880909577959
rankine_pic_ppc2_t4,pic,2,,181,2.896,0.9466825975032946,0.2263924737820746
rankine_pic_ppc2_t4,pic,2,,182,2.912,0.946559922794886,0.22626979907366596
rankine_pic_ppc2_t4,pic,2,,183,2.928,0.9466390531349136,0.22634892941369356
rankine_pic_ppc2_t4,pic,2,,184,2.944,0.9465875069031571,0.22629738318193704
rankine_pic_ppc2_t4,pic,2,,185,2.96,0.9466687058097399,0.2263785820885199
rankine_pic_ppc2_t4,pic,2,,186,2.976,0.9466415180244393,0.22635139430321927
rankine_pic_ppc2_t4,pic,2,,187,2.992,0.946578348218501,0.22628822449728092
rankine_pic_ppc2_t4,pic,2,,188,3.008,0.9466379385491202,0.22634781482790012
rankine_pic_ppc2_t4,pic,2,,189,3.024,0.946636986865671,0.22634686314445096
rankine_pic_ppc2_t4,pic,2,,190,3.04,0.9466016340538532,0.2263115103326332
rankine_pic_ppc2_t4,pic,2,,191,3.056,0.9465514790157504,0.2262613552945304
rankine_pic_ppc2_t4,pic,2,,192,3.072,0.9466258587527324,0.2263357350315124
rankine_pic_ppc2_t4,pic,2,,193,3.088,0.946512293823396,0.22622217010217593
rankine_pic_ppc2_t4,pic,2,,194,3.104,0.9465136576140809,0.22622353389286087
rankine_pic_ppc2_t4,pic,2,,195,3.12,0.9464911304776034,0.22620100675638333
rankine_pic_ppc2_t4,pic,2,,196,3.136,0.9464132565105565,0.2261231327893365
rankine_pic_ppc2_t4,pic,2,,197,3.152,0.9464663626237642,0.22617623890254412
rankine_pic_ppc2_t4,pic,2,,198,3.168,0.946455726714078,0.22616560299285793
rankine_pic_ppc2_t4,pic,2,,199,3.184,0.9464516261551692,0.22616150243394917
rankine_pic_ppc2_t4,pic,2,,200,3.2,0.9463049869586392,0.22601486323741915
rankine_pic_ppc2_t4,pic,2,,201,3.216,0.9463501557762325,0.22606003205501246
rankine_pic_ppc2_t4,pic,2,,202,3.232,0.9462159481094977,0.22592582438827769
rankine_pic_ppc2_t4,pic,2,,203,3.248,0.9462837610694852,0.22599363734826516
rankine_pic_ppc2_t4,pic,2,,204,3.2640000000000002,0.9462074866665248,0.22591736294530473
rankine_pic_ppc2_t4,pic,2,,205,3.2800000000000002,0.9461254636874379,0.22583533996621785
rankine_pic_ppc2_t4,pic,2,,206,3.2960000000000003,0.9461413627986824,0.2258512390774624
rankine_pic_ppc2_t4,pic,2,,207,3.3120000000000003,0.9459519657587742,0.22566184203755413
rankine_pic_ppc2_t4,pic,2,,208,3.3280000000000003,0.9459645345629516,0.22567441084173157
rankine_pic_ppc2_t4,pic,2,,209,3.344,0.9459082502027032,0.22561812648148316
rankine_pic_ppc2_t4,pic,2,,210,3.36,0.9458647411828462,0.22557461746162621
rankine_pic_ppc2_t4,pic,2,,211,3.376,0.9457921235622556,0.22550199984103558
rankine_pic_ppc2_t4,pic,2,,212,3.392,0.9457459781650348,0.22545585444381477
rankine_pic_ppc2_t4,pic,2,,213,3.408,0.9456224143768753,0.2253322906556553
rankine_pic_ppc2_t4,pic,2,,214,3.424,0.9456067045752277,0.22531658085400763
rankine_pic_ppc2_t4,pic,2,,215,3.44,0.9454127458215891,0.22512262210036904
rankine_pic_ppc2_t4,pic,2,,216,3.456,0.9454065574660402,0.22511643374482015
rankine_pic_ppc2_t4,pic,2,,217,3.472,0.9452009589103207,0.2249108351891007
rankine_pic_ppc2_t4,pic,2,,218,3.488,0.9452144277873977,0.2249243040661777
rankine_pic_ppc2_t4,pic,2,,219,3.504,0.9450832759698768,0.2247931522486568
rankine_pic_ppc2_t4,pic,2,,220,3.52,0.9449843218729898,0.22469419815176972
rankine_pic_ppc2_t4,pic,2,,221,3.536,0.9450169936634445,0.22472686994222446
rankine_pic_ppc2_t4,pic,2,,222,3.552,0.9448152205594277,0.22452509683820765
rankine_pic_ppc2_t4,pic,2,,223,3.568,0.944819671185619,0.22452954746439902
rankine_pic_ppc2_t4,pic,2,,224,3.584,0.9447364766312315,0.22444635291001147
rankine_pic_ppc2_t4,pic,2,,225,3.6,0.944641270334731,0.22435114661351097
rankine_pic_ppc2_t4,pic,2,,226,3.616,0.9445490218532175,0.2242588981319975
rankine_pic_ppc2_t4,pic,2,,227,3.632,0.9443961754989912,0.2241060517777712
rankine_pic_ppc2_t4,pic,2,,228,3.648,0.9443345896816698,0.2240444659604498
rankine_pic_ppc2_t4,pic,2,,229,3.664,0.944157392258868,0.22386726853764793
rankine_pic_ppc2_t4,pic,2,,230,3.68,0.9440674133184287,0.22377728959720866
rankine_pic_ppc2_t4,pic,2,,231,3.696,0.9439224234343577,0.2236322997131377
rankine_pic_ppc2_t4,pic,2,,232,3.712,0.94388597123608,0.22359584751485995
rankine_pic_ppc2_t4,pic,2,,233,3.728,0.9438049629405282,0.22351483921930815
rankine_pic_ppc2_t4,pic,2,,234,3.744,0.9437052129689064,0.22341508924768638
rankine_pic_ppc2_t4,pic,2,,235,3.7600000000000002,0.943598511193593,0.22330838747237292
rankine_pic_ppc2_t4,pic,2,,236,3.7760000000000002,0.9434652006431627,0.22317507692194272
rankine_pic_ppc2_t4,pic,2,,237,3.7920000000000003,0.943301459889504,0.22301133616828395
rankine_pic_ppc2_t4,pic,2,,238,3.8080000000000003,0.9433221521915884,0.2230320284703684
rankine_pic_ppc2_t4,pic,2,,239,3.8240000000000003,0.943103508880731,0.222813385159511
rankine_pic_ppc2_t4,pic,2,,240,3.84,0.9429910214739607,0.2227008977527407
rankine_pic_ppc2_t4,pic,2,,241,3.856,0.9429304579296174,0.22264033420839735
rankine_pic_ppc2_t4,pic,2,,242,3.872,0.9428530970682778,0.22256297334705777
rankine_pic_ppc2_t4,pic,2,,243,3.888,0.9427012066498311,0.22241108292861111
rankine_pic_ppc2_t4,pic,2,,244,3.904,0.9425269592237943,0.22223683550257423
rankine_pic_ppc2_t4,pic,2,,245,3.92,0.9423649705998206,0.22207484687860057
rankine_pic_ppc2_t4,pic,2,,246,3.936,0.9422942647187219,0.22200414099750188
rankine_pic_ppc2_t4,pic,2,,247,3.952,0.9422238248663878,0.22193370114516775
rankine_pic_ppc2_t4,pic,2,,248,3.968,0.9420030890504286,0.2217129653292086
rankine_pic_ppc2_t4,pic,2,,249,3.984,0.941940436022782,0.22165031230156196
rankine_pic_ppc2_t4,pic,2,,250,4.0,0.9418296750381597,0.2215395513169397
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,0,0.0,0.72029012372122,0.0
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,1,0.016,0.7683792256145587,0.048089101893338704
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,2,0.032,0.7732311038414891,0.05294098012026904
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,3,0.048,0.7733509760780064,0.05306085235678637
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,4,0.064,0.7783480057588461,0.058057882037626074
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,5,0.08,0.7807075754822513,0.060417451761031304
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,6,0.096,0.7865754280482378,0.06628530432701774
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,7,0.112,0.7905778396125527,0.07028771589133265
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,8,0.128,0.7923319179982024,0.07204179427698232
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,9,0.14400000000000002,0.7952766764674898,0.07498655274626975
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,10,0.16,0.7984287692260845,0.07813864550486449
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,11,0.176,0.8017609737674968,0.08147085004627674
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,12,0.192,0.8055158545087572,0.08522573078753715
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,13,0.20800000000000002,0.8106178457340868,0.09032772201286676
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,14,0.224,0.8140444152116736,0.09375429149045356
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,15,0.24,0.8183122885733796,0.09802216485215953
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,16,0.256,0.8214236534986494,0.1011335297774294
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,17,0.272,0.8223317970454651,0.10204167332424507
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,18,0.28800000000000003,0.8247930668101662,0.10450294308894614
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,19,0.304,0.8290878805085528,0.10879775678733272
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,20,0.32,0.830700195847961,0.11041007212674092
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,21,0.336,0.8306028103095106,0.11031268658829052
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,22,0.352,0.8321966497454844,0.11190652602426432
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,23,0.368,0.8355741492299613,0.11528402550874128
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,24,0.384,0.8397695270118941,0.11947940329067408
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,25,0.4,0.8413612851791095,0.12107116145788943
