test,method,ppc,flip_coef_pic,threads,repeat,run,sample,step,time,kinetic_energy,normalized_ke,velocity_l2,normalized_velocity_l2
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,25,1550,15.5,2077.716674804688,3.4523611323364527,2.0384880057555836,1.8580530488488356
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,26,1612,16.12,1248.4169006347659,2.0743858086948057,1.5801372729195182,1.4402728243964078
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,27,1674,16.740000000000002,959.023895263672,1.5935266156062597,1.3849360239835427,1.262349640791433
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,28,1736,17.36,945.2922058105471,1.5707098612700416,1.3749852405102734,1.2532796420871288
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,29,1798,17.98,900.1999664306643,1.495784008051988,1.3417898243992346,1.2230224887760601
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,30,1860,18.6,650.9565734863282,1.081637934755649,1.141014087105263,1.0400182377033824
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,31,1922,19.22,689.8175048828127,1.146209765336076,1.174578652013404,1.070611864933355
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,32,1984,19.84,725.5259704589845,1.2055434175830255,1.2045961733784352,1.0979724120318441
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,33,2046,20.46,426.1967849731446,0.7081741379903764,0.9232516287265835,0.8415308300890565
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,34,2108,21.080000000000002,374.8739624023438,0.6228954664593369,0.8658798558718684,0.7892372687977532
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,35,2170,21.7,122.61157989501956,0.20373300071999598,0.49520012095115556,0.45136792167808737
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,36,2232,22.32,200.8489608764649,0.33373325362817063,0.6337964355792243,0.5776965065050772
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,37,2294,22.94,212.3559951782227,0.352853491942466,0.6516993097713434,0.5940147236748143
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,38,2356,23.56,320.3663635253907,0.5323249290700326,0.8004578234053193,0.7296060094804816
