run,step,time,kinetic_energy,velocity_l2
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,29,29.0,7.546063423156738,2.7470098711911968
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,30,30.0,6.338501930236816,2.5176380968904293
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,31,31.0,4.684139728546143,2.164287273976557
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,32,32.0,3.6136231422424316,1.9009531942883287
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,33,33.0,3.712172746658325,1.9266999108285439
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,34,34.0,3.4978654384613037,1.8702580825677926
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,35,35.0,3.3397438526153564,1.8274965533055734
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,36,36.0,3.0180673599243164,1.7372585650320864
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,37,37.0,2.7684407234191895,1.6638631409337166
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,38,38.0,2.4726622104644775,1.572470046881607
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,39,39.0,2.398090124130249,1.5485768337286134
falling-block-water_flip_ppc3_coefpic0.01_t4_r1,40,40.0,2.2518374919891357,1.5006123119550285
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,0,0.0,0.0,0.0
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,1,1.0,1.2007826566696167,1.0958023086236683
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,2,2.0,4.872283458709717,2.2073249942795226
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,3,3.0,10.902059555053711,3.3018266650706964
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,4,4.0,19.38140296936035,4.402431440453176
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,5,5.0,30.451587677001953,5.51829565301303
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,6,6.0,43.6080436706543,6.603638541909112
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,7,7.0,43.33952713012695,6.5832762639272175
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,8,8.0,37.9612922668457,6.1612735293854834
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,9,9.0,29.28628921508789,5.411680572714335
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,10,10.0,18.096614837646484,4.254011491466761
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,11,11.0,10.647974967956543,3.2631234811933836
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,12,12.0,9.189512252807617,3.031420742613932
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,13,13.0,13.297926902770996,3.646632148351493
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,14,14.0,19.652629852294922,4.433128486050018
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,15,15.0,27.884170532226562,5.280546365848425
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,16,16.0,29.36078453063965,5.4185591896191605
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,17,17.0,26.7069091796875,5.167872790586809
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,18,18.0,25.68368911743164,5.067907750230242
