run,step,time,vorticity_l2,enstrophy
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,7,7.0,32.93057327545331,542.211328125
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,8,8.0,44.299756630257015,981.2342187500001
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,9,9.0,45.495666002378734,1034.9278125
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,10,10.0,41.48267522412218,860.4061718750002
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,11,11.0,32.05771650476684,513.8485937500001
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,12,12.0,28.31739747928824,400.9375
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,13,13.0,34.85863639401289,607.5622656250001
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,14,14.0,42.65775684151712,909.8421093750002
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,15,15.0,51.59150850673006,1330.841875
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,16,16.0,57.901481522496475,1676.2907812500002
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,17,17.0,59.935460079989376,1796.1296875
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,18,18.0,59.06740588090864,1744.47921875
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,19,19.0,54.68225832022669,1495.0746875000002
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,20,20.0,56.30259485583236,1584.9910937500001
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,21,21.0,53.73063023080969,1443.4903125
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,22,22.0,43.61432175902773,951.10453125
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,23,23.0,38.65343007095231,747.0438281250001
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,24,24.0,33.76976388909168,570.1984765625001
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,25,25.0,27.751478001180406,385.072265625
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,26,26.0,24.905232099651272,310.13529296875004
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,27,27.0,23.627998321641638,279.14115234375004
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,28,28.0,21.825791079592054,238.18257812500002
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,29,29.0,24.418212497283662,298.12455078125004
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,30,30.0,19.24270864347065,185.14091796875002
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,31,31.0,11.662426312736129,68.00609375
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,32,32.0,9.595724552502537,46.03896484375
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,33,33.0,8.815447202212717,38.856054687500006
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,34,34.0,8.373677309264282,35.05923583984375
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,35,35.0,7.9821942349636865,31.857712402343754
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,36,36.0,7.664611505565693,29.373134765625004
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,37,37.0,8.472758218900001,35.89381591796876
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,38,38.0,9.844320915983744,48.455327148437505
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,39,39.0,7.641250613446728,29.194355468750004
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,40,40.0,7.431752637542843,27.615473632812503
falling-block-water_apic_ppc3_t4_r1,0,0.0,0.0,0.0
falling-block-water_apic_ppc3_t4_r1,1,1.0,3.6483110256451208,6.655086669921876
falling-block-water_apic_ppc3_t4_r1,2,2.0,7.069090191305562,24.986018066406253
falling-block-water_apic_ppc3_t4_r1,3,3.0,10.684878150627174,57.083310546875
falling-block-water_apic_ppc3_t4_r1,4,4.0,14.138162423693895,99.94381835937502
falling-block-water_apic_ppc3_t4_r1,5,5.0,17.67270306415377,156.16221679687501
falling-block-water_apic_ppc3_t4_r1,6,6.0,21.288637667779497,226.60304687500002
falling-block-water_apic_ppc3_t4_r1,7,7.0,39.021950953918235,761.3563281250001
falling-block-water_apic_ppc3_t4_r1,8,8.0,46.82807317731534,1096.4342187500001
falling-block-water_apic_ppc3_t4_r1,9,9.0,51.87767764173721,1345.6467187500002
falling-block-water_apic_ppc3_t4_r1,10,10.0,46.01008890721686,1058.464140625
falling-block-water_apic_ppc3_t4_r1,11,11.0,40.07464129596172,802.9884375000001
falling-block-water_apic_ppc3_t4_r1,12,12.0,41.81347532494758,874.183359375
falling-block-water_apic_ppc3_t4_r1,13,13.0,52.67179629555081,1387.1590625000001
falling-block-water_apic_ppc3_t4_r1,14,14.0,64.35444331978951,2070.7471875000006
falling-block-water_apic_ppc3_t4_r1,15,15.0,61.88869040462886,1915.105
falling-block-water_apic_ppc3_t4_r1,16,16.0,56.965845030158206,1622.55375
falling-block-water_apic_ppc3_t4_r1,17,17.0,59.30243460432295,1758.389375
falling-block-water_apic_ppc3_t4_r1,18,18.0,57.67298436009707,1663.0865625000004
falling-block-water_apic_ppc3_t4_r1,19,19.0,57.447323697453484,1650.0975000000003
falling-block-water_apic_ppc3_t4_r1,20,20.0,57.31536661315184,1642.5256250000002
falling-block-water_apic_ppc3_t4_r1,21,21.0,51.94581311328181,1349.1837500000001
falling-block-water_apic_ppc3_t4_r1,22,22.0,45.40088793184556,1030.6203125
falling-block-water_apic_ppc3_t4_r1,23,23.0,42.668176446269655,910.2866406250001
falling-block-water_apic_ppc3_t4_r1,24,24.0,41.73203767790401,870.7814843750001
falling-block-water_apic_ppc3_t4_r1,25,25.0,39.18801435069147,767.8502343750001
falling-block-water_apic_ppc3_t4_r1,26,26.0,33.46193733184019,559.850625
falling-block-water_apic_ppc3_t4_r1,27,27.0,29.740890149338167,442.2602734375
falling-block-water_apic_ppc3_t4_r1,28,28.0,29.815375909503473,444.47832031250005
