run,method,ppc,flip_coef,sample,time,normVelocity
vk_pic_ppc3_t4,pic,3,,103,5.15,1.0751163959503174
vk_pic_ppc3_t4,pic,3,,104,5.2,1.0734498500823975
vk_pic_ppc3_t4,pic,3,,105,5.25,1.0727758407592773
vk_pic_ppc3_t4,pic,3,,106,5.300000000000001,1.0729455947875977
vk_pic_ppc3_t4,pic,3,,107,5.3500000000000005,1.0726367235183716
vk_pic_ppc3_t4,pic,3,,108,5.4,1.0716006755828857
vk_pic_ppc3_t4,pic,3,,109,5.45,1.0713355541229248
vk_pic_ppc3_t4,pic,3,,110,5.5,1.0712611675262451
vk_pic_ppc3_t4,pic,3,,111,5.550000000000001,1.0698833465576172
vk_pic_ppc3_t4,pic,3,,112,5.6000000000000005,1.0697840452194214
vk_pic_ppc3_t4,pic,3,,113,5.65,1.0702717304229736
vk_pic_ppc3_t4,pic,3,,114,5.700000000000001,1.0704022645950317
vk_pic_ppc3_t4,pic,3,,115,5.750000000000001,1.0701735019683838
vk_pic_ppc3_t4,pic,3,,116,5.8,1.0693156719207764
vk_pic_ppc3_t4,pic,3,,117,5.85,1.0681312084197998
vk_pic_ppc3_t4,pic,3,,118,5.8999999999999995,1.0679152011871338
vk_pic_ppc3_t4,pic,3,,119,5.949999999999999,1.0682265758514404
vk_pic_ppc3_t4,pic,3,,120,6.0,1.069329857826233
vk_pic_ppc3_t4,pic,3,,121,6.05,1.0715328454971313
vk_pic_ppc3_t4,pic,3,,122,6.1,1.0723997354507446
vk_pic_ppc3_t4,pic,3,,123,6.15,1.0712909698486328
vk_pic_ppc3_t4,pic,3,,124,6.2,1.0702961683273315
vk_pic_ppc3_t4,pic,3,,125,6.25,1.068038821220398
vk_pic_ppc3_t4,pic,3,,126,6.3,1.066196084022522
vk_pic_ppc3_t4,pic,3,,127,6.35,1.0665364265441895
vk_pic_ppc3_t4,pic,3,,128,6.4,1.067782998085022
vk_pic_ppc3_t4,pic,3,,129,6.45,1.0673538446426392
vk_pic_ppc3_t4,pic,3,,130,6.5,1.066815733909607
vk_pic_ppc3_t4,pic,3,,131,6.550000000000001,1.0669381618499756
vk_pic_ppc3_t4,pic,3,,132,6.6000000000000005,1.0668095350265503
vk_pic_ppc3_t4,pic,3,,133,6.65,1.0667741298675537
vk_pic_ppc3_t4,pic,3,,134,6.7,1.066264271736145
vk_pic_ppc3_t4,pic,3,,135,6.75,1.0654715299606323
vk_pic_ppc3_t4,pic,3,,136,6.800000000000001,1.0647387504577637
vk_pic_ppc3_t4,pic,3,,137,6.8500000000000005,1.0637483596801758
vk_pic_ppc3_t4,pic,3,,138,6.9,1.0635756254196167
vk_pic_ppc3_t4,pic,3,,139,6.950000000000001,1.0646475553512573
vk_pic_ppc3_t4,pic,3,,140,7.000000000000001,1.0648800134658813
vk_pic_ppc3_t4,pic,3,,141,7.05,1.0648086071014404
vk_pic_ppc3_t4,pic,3,,142,7.1,1.0645242929458618
vk_pic_ppc3_t4,pic,3,,143,7.1499999999999995,1.0636152029037476
vk_pic_ppc3_t4,pic,3,,144,7.199999999999999,1.062705636024475
vk_pic_ppc3_t4,pic,3,,145,7.25,1.0628808736801147
vk_pic_ppc3_t4,pic,3,,146,7.3,1.0639700889587402
vk_pic_ppc3_t4,pic,3,,147,7.35,1.064091682434082
vk_pic_ppc3_t4,pic,3,,148,7.4,1.0643020868301392
vk_pic_ppc3_t4,pic,3,,149,7.45,1.0637611150741577
vk_pic_ppc3_t4,pic,3,,150,7.5,1.063850998878479
vk_pic_ppc3_t4,pic,3,,151,7.55,1.0643889904022217
vk_pic_ppc3_t4,pic,3,,152,7.6,1.0637755393981934
vk_pic_ppc3_t4,pic,3,,153,7.65,1.0628949403762817
vk_pic_ppc3_t4,pic,3,,154,7.7,1.0625879764556885
vk_pic_ppc3_t4,pic,3,,155,7.75,1.063279390335083
vk_pic_ppc3_t4,pic,3,,156,7.800000000000001,1.064682126045227
vk_pic_ppc3_t4,pic,3,,157,7.8500000000000005,1.0649586915969849
vk_pic_ppc3_t4,pic,3,,158,7.9,1.0650767087936401
vk_pic_ppc3_t4,pic,3,,159,7.95,1.065705418586731
vk_pic_ppc3_t4,pic,3,,160,8.0,1.0662187337875366
vk_pic_ppc3_t4,pic,3,,161,8.05,1.066528558731079
vk_pic_ppc3_t4,pic,3,,162,8.100000000000001,1.066140055656433
vk_pic_ppc3_t4,pic,3,,163,8.15,1.0641065835952759
vk_pic_ppc3_t4,pic,3,,164,8.200000000000001,1.062703251838684
vk_pic_ppc3_t4,pic,3,,165,8.25,1.0634384155273438
vk_pic_ppc3_t4,pic,3,,166,8.3,1.064039945602417
vk_pic_ppc3_t4,pic,3,,167,8.35,1.064917802810669
vk_pic_ppc3_t4,pic,3,,168,8.4,1.0656452178955078
vk_pic_ppc3_t4,pic,3,,169,8.45,1.0652368068695068
vk_pic_ppc3_t4,pic,3,,170,8.5,1.0648807287216187
vk_pic_ppc3_t4,pic,3,,171,8.55,1.064339518547058
vk_pic_ppc3_t4,pic,3,,172,8.6,1.0643595457077026
vk_pic_ppc3_t4,pic,3,,173,8.65,1.0652287006378174
vk_pic_ppc3_t4,pic,3,,174,8.7,1.0651990175247192
vk_pic_ppc3_t4,pic,3,,175,8.75,1.0642963647842407
vk_pic_ppc3_t4,pic,3,,176,8.8,1.0636528730392456
vk_pic_ppc3_t4,pic,3,,177,8.85,1.063382625579834
vk_pic_ppc3_t4,pic,3,,178,8.9,1.063605546951294
vk_pic_ppc3_t4,pic,3,,179,8.95,1.0632597208023071
vk_pic_ppc3_t4,pic,3,,180,9.0,1.0632328987121582
vk_pic_ppc3_t4,pic,3,,181,9.05,1.06395423412323
vk_pic_ppc3_t4,pic,3,,182,9.1,1.0654568672180176
vk_pic_ppc3_t4,pic,3,,183,9.15,1.066967248916626
vk_pic_ppc3_t4,pic,3,,184,9.200000000000001,1.0673555135726929
